,Subject_ID,L_eccentricity_real_benson,R_eccentricity_real_benson,L_polarangle_real_benson,R_polarangle_real_benson,L_eccentricity_real_simulated,R_eccentricity_real_simulated,L_polarangle_real_simulated,R_polarangle_real_simulated
0,HCD1723651_V1_MR,164.2177536231884,263.67111561119293,3883.9547101449275,3400.248600883652,387.24791666666664,317.09252577319586,5544.794202898551,5776.668041237113
1,HCD0295146_V1_MR,210.257125,238.19970193740684,4419.257333333333,3062.6789865871833,551.4218333333333,644.9454545454546,6962.504,6863.321013412817
2,HCD0786771_V1_MR,135.46428290920514,173.19222200053207,2597.7917059377946,2768.4006384676777,509.4071630537229,532.3977121574887,7182.324850769714,7799.736100026603
3,HCD0111716_V1_MR,174.10995410460686,216.1683185966914,2924.8936612400416,3381.964632059327,490.3084516799446,644.1438961779807,6958.243851749221,6279.884198516828
4,HCD0529751_V1_MR,250.59002504173623,266.2810534591195,4993.228714524207,3697.295283018868,698.2343906510852,560.4682783018868,8079.823706176961,7402.837735849057
5,HCD1029837_V1_MR,259.58333961410915,189.7561914976599,3195.0967741935483,3871.296411856474,567.9275700934579,360.14846593863757,6605.190232137474,8153.529381175247
6,HCD2146139_V1_MR,300.2318203883495,272.37472098214283,4881.091650485437,4055.4327168367345,420.06893203883493,409.25948660714283,6700.1180582524275,6380.605229591837
7,HCD2008329_V1_MR,116.71087618752581,175.8192077020202,2928.67492771582,3342.179292929293,531.992565055762,541.040404040404,4872.232961586122,7165.008838383838
8,HCD1223934_V1_MR,280.2600233455136,304.4301105595668,2441.7976045473,3483.6919374247896,221.4421944782785,264.7921555354994,8144.634997969955,6226.181708784597
9,HCD1071836_V1_MR,199.39396367521368,220.24069864241804,2725.446088099934,2870.0455942622953,567.9675378040763,608.095030737705,5979.91452991453,5876.243340163935
10,HCD0951861_V1_MR,228.04550764655906,204.89588124178712,4091.001699235344,2667.52135348226,248.63737255734918,391.7464684625493,6843.5518266779945,6087.659658344284
11,HCD1289358_V1_MR,246.12486335811107,194.40651874785001,3403.440752076957,2591.15823873409,605.3701902055094,433.2988906088751,10408.047223436817,6180.209838321293
12,HCD1785572_V1_MR,261.03983568972103,320.67176764522173,4962.778754298815,3807.7398500936915,642.1708062667176,476.69683010618365,6325.568589988537,6119.106183635228
13,HCD0772760_V1_MR,256.0395141451414,371.24329780361757,4299.057810578106,4060.229974160207,748.709409594096,792.3803294573644,6682.181221812218,7243.087855297158
14,HCD0059235_V1_MR,349.63735612728505,273.3234903381643,6077.271496276236,6657.278743961353,684.7031144211239,456.2375,7496.364251861883,8534.258937198068
15,HCD0134526_V1_MR,275.1184987089635,320.4360774460538,3343.738472888233,3542.3180608926987,755.1812061969753,708.059119125037,8207.55957211361,6856.759089565475
16,HCD0338744_V1_MR,114.16476848394323,187.92840470057953,2377.291635548917,2084.5281712813908,216.80764563106797,246.82445267224728,5907.733009708738,7837.648422408242
17,HCD1346849_V1_MR,257.595245215311,190.39463094547563,2922.9232456140353,2981.843097447796,580.6778807814992,459.44424303944317,5174.580542264753,6182.051044083527
18,HCD0183438_V1_MR,284.61547124047127,221.46412037037038,3548.742896742897,3708.903133903134,478.2408610533611,284.93671652421654,6104.914760914761,6897.062108262108
19,HCD2301428_V1_MR,305.40256045519203,329.1660046728972,6778.131578947368,5039.902180685358,858.9834637268848,963.6222741433022,8247.856330014225,7873.103426791277
20,HCD0124725_V1_MR,197.64288905133202,231.51154326123128,3855.0019493177388,3481.9156960621185,442.22551169590645,513.532203272324,8365.236517218973,6318.475318912923
21,HCD0123925_V1_MR,319.4619993434012,223.87846604389085,4863.595206828628,3977.223013048636,763.2465528562049,490.99236358244366,7001.634931057124,8188.120403321471
22,HCD1856468_V1_MR,228.7713856486391,194.454988170347,5416.475079533404,3136.7564668769714,607.8247172145634,467.90524447949525,6107.7667020148465,6753.100315457414
23,HCD0232223_V1_MR,265.7939841089671,270.4300564300564,4165.12902005297,3471.71190971191,536.3245365115399,759.2656667656668,7189.946273174423,5803.309771309771
24,HCD0224123_V1_MR,1142.844279661017,1215.3095162316995,5058.676425269646,4813.254614894971,1377.6537942989214,1503.1137810311902,5551.928351309707,5139.058561425843
25,HCD0121719_V1_MR,251.00501279863482,249.451192964124,3257.1904863481227,2763.201323580634,577.8608148464164,483.49233716475095,7685.091296928327,6561.50052246604
26,HCD1664762_V1_MR,238.87707550125313,250.18468649517686,3323.8192355889723,4697.012861736334,436.2530936716792,452.41961414790995,7750.630325814536,6072.261521972133
27,HCD2878382_V1_MR,278.4786399302528,368.227783203125,4642.0802092415,5591.301432291667,557.7289668700959,575.999267578125,5074.589363557106,7331.841145833333
28,HCD0118528_V1_MR,163.04985678481918,112.60694504778454,2552.682420336556,3472.6811468288447,639.0755907626209,525.775159281784,6392.150375939849,7137.553431798437
29,HCD0478356_V1_MR,338.32246133154,1001.3138032990975,6325.1748486886345,4531.133208839091,622.6026395427034,1267.770463741052,7377.95830531271,7122.9467787114845
30,HCD0143426_V1_MR,196.27869352869354,168.90094667697065,2680.4928774928776,3293.6834621329212,558.1036833536833,491.60150695517774,6349.182336182336,5460.137867078825
31,HCD2068145_V1_MR,515.8401386105544,599.251964237334,5886.832999331998,4325.03196965592,849.061706746827,1033.554727716066,7430.924515698062,7079.459225142238
32,HCD0214423_V1_MR,192.744442705072,227.76430959874114,2847.2670632435816,2786.6624704956726,608.4180103318722,466.77084972462626,6429.413274890419,5532.047731445056
33,HCD1305936_V1_MR,222.44428974671956,224.11546244692144,3152.510833079036,2969.288481953291,692.6005492828807,453.52587579617835,7828.905706438816,5374.163481953291
34,HCD2884175_V1_MR,206.2162825748736,170.85786854228365,2688.810968494749,2487.7068114511353,637.2995429793855,577.8613441921685,6301.804745235317,5576.900296150049
35,HCD1900142_V1_MR,302.6110705003249,293.5936445875498,5531.04873294347,5882.921189819074,765.038823911631,725.4326893590923,8832.769330734243,7456.046611468874
