,Subject_ID,L_eccentricity_real_benson,R_eccentricity_real_benson,L_polarangle_real_benson,R_polarangle_real_benson,L_eccentricity_real_simulated,R_eccentricity_real_simulated,L_polarangle_real_simulated,R_polarangle_real_simulated
0,HCD1342033_V1_MR,130.64317058096415,188.81975976768743,2809.8887515451174,3156.112460401267,336.50426452410386,362.2109952481521,7678.229913473424,7053.105596620908
1,HCD2134031_V1_MR,178.80529336734693,170.0703847199565,3182.725,2958.4214246873303,371.0726403061224,495.3198069603045,8065.6,8186.931484502447
2,HCD2203933_V1_MR,245.65981510621558,215.75459941682865,3492.1864673485443,4495.477367397945,634.0746131654865,601.3130380449875,8056.733280881196,7051.350180505415
3,HCD1003617_V1_MR,182.25134624907156,220.4261007275464,3040.316910126269,2579.4262418464627,737.4018321366675,559.5775840441545,7670.1965833127015,6276.806823883592
4,HCD0183539_V1_MR,177.53988486842104,210.70647023985785,2525.313048245614,3325.498371335505,423.726014254386,460.7166864080545,8381.263706140351,9016.792419307078
5,HCD0630134_V1_MR,1398.258085550339,711.0709917575113,3183.848200312989,4715.865993086945,1903.5324726134586,1416.9839138526988,7795.772561293688,8976.848710449349
6,HCD0418338_V1_MR,266.8123226721692,390.3108582949309,4528.336858395667,4903.952995391705,285.52179520247614,900.2227534562212,6418.893990198607,8875.095852534561
7,HCD2339049_V1_MR,227.54283707865167,242.59297869576514,3769.885767790262,3185.5515718368406,514.2975521669342,671.9721356196414,7061.764579989299,7644.853208625617
8,HCD0614237_V1_MR,393.45484370392217,516.67246745897,3399.5785903863166,3212.4046406338425,862.6760542612799,998.1492642897566,8296.680035387792,8546.150537634408
9,HCD1778070_V1_MR,294.65138417479847,461.1909871244635,3502.5422146796777,4420.788841201716,552.7759333899024,806.3843347639485,6928.611794654222,8691.497854077254
10,HCD2764771_V1_MR,185.04761904761904,239.87702807107905,4254.480221718317,2809.7246973989186,551.6579743008315,425.2821272212207,8337.537918871252,7379.28611898017
11,HCD0031617_V1_MR,183.48320469798657,287.9146425012456,3787.012080536913,3287.420279023418,374.20570469798656,387.1649539113104,8302.73288590604,8674.83009466866
12,HCD2105125_V1_MR,217.52143551129464,261.0099972035794,3787.9242166626186,3918.5799776286353,383.52310541656544,395.0365981543624,8451.805683750305,7403.541387024608
13,HCD2724456_V1_MR,138.20439238122827,229.49031949352178,3044.4988412514485,2484.3442285041224,507.2055330243337,491.615945229682,7309.9716106604865,7457.5041224970555
